Study_Hours,Attendance,Previous_Marks,Assignment_Score,Result
3.7,79.0,37.0,42.0,0
9.5,45.0,89.0,50.0,1
7.3,50.0,63.0,42.0,1
6.0,94.0,84.0,36.0,1
1.6,76.0,51.0,38.0,0
1.6,41.0,88.0,62.0,0
0.6,46.0,55.0,44.0,0
8.7,80.0,31.0,55.0,0
6.0,40.0,89.0,65.0,1
7.1,50.0,36.0,78.0,1
0.2,73.0,51.0,33.0,0
9.7,82.0,92.0,86.0,1
8.3,79.0,92.0,74.0,1
2.1,53.0,67.0,36.0,0
1.8,83.0,71.0,91.0,0
1.8,54.0,59.0,94.0,0
3.0,60.0,49.0,34.0,0
5.2,85.0,51.0,49.0,0
4.3,79.0,74.0,86.0,0
2.9,91.0,79.0,82.0,0
6.1,79.0,81.0,43.0,1
1.4,74.0,81.0,45.0,1
2.9,46.0,36.0,56.0,0
3.7,62.0,62.0,64.0,0
4.6,56.0,34.0,73.0,0
7.9,55.0,66.0,56.0,0
2.0,98.0,59.0,62.0,0
5.1,64.0,88.0,82.0,1
5.9,94.0,53.0,33.0,0
0.5,78.0,38.0,48.0,0
6.1,88.0,39.0,80.0,1
1.7,70.0,79.0,93.0,1
0.7,75.0,70.0,66.0,0
9.5,70.0,37.0,67.0,0
9.7,52.0,35.0,38.0,1
8.1,83.0,76.0,61.0,1
3.0,57.0,35.0,67.0,0
1.0,41.0,83.0,47.0,0
6.8,79.0,76.0,49.0,1
4.4,51.0,35.0,56.0,0
1.2,96.0,36.0,31.0,0
5.0,97.0,94.0,53.0,1
0.3,95.0,54.0,45.0,0
9.1,62.0,54.0,53.0,0
2.6,41.0,83.0,38.0,0
6.6,96.0,92.0,92.0,1
3.1,66.0,94.0,72.0,1
5.2,98.0,79.0,78.0,1
5.5,98.0,54.0,85.0,0
1.8,91.0,35.0,65.0,0
9.7,58.0,81.0,36.0,1
7.8,63.0,66.0,68.0,0
9.4,91.0,58.0,71.0,1
8.9,59.0,89.0,82.0,1
6.0,50.0,37.0,60.0,0
9.2,73.0,62.0,39.0,0
0.9,96.0,31.0,50.0,0
2.0,82.0,60.0,55.0,1
0.5,74.0,34.0,75.0,0
3.3,46.0,38.0,70.0,0
3.9,77.0,38.0,55.0,0
2.7,99.0,72.0,99.0,1
8.3,48.0,78.0,72.0,1
3.6,71.0,68.0,47.0,0
2.8,93.0,93.0,37.0,0
5.4,84.0,54.0,41.0,1
1.4,82.0,49.0,47.0,0
8.0,82.0,86.0,41.0,1
0.7,62.0,45.0,43.0,0
9.9,58.0,93.0,50.0,1
7.7,89.0,31.0,42.0,0
2.0,89.0,93.0,93.0,1
0.1,92.0,33.0,36.0,0
8.2,95.0,88.0,67.0,1
7.1,71.0,64.0,59.0,1
7.3,70.0,95.0,99.0,1
7.7,88.0,35.0,38.0,0
0.7,79.0,66.0,58.0,0
3.6,82.0,93.0,98.0,1
1.2,88.0,64.0,91.0,1
8.6,93.0,71.0,87.0,1
6.2,60.0,75.0,48.0,1
3.3,63.0,60.0,42.0,0
0.6,46.0,71.0,77.0,0
3.1,75.0,68.0,95.0,0
3.3,42.0,89.0,69.0,0
7.3,68.0,33.0,70.0,0
6.4,73.0,48.0,50.0,1
8.9,57.0,92.0,84.0,0
4.7,75.0,88.0,43.0,1
1.2,42.0,60.0,53.0,0
7.1,42.0,70.0,60.0,0
7.6,89.0,48.0,66.0,1
5.6,62.0,42.0,47.0,0
7.7,48.0,60.0,38.0,0
4.9,71.0,53.0,73.0,1
5.2,86.0,68.0,50.0,1
4.3,53.0,35.0,71.0,0
0.3,77.0,93.0,41.0,0
1.1,45.0,94.0,64.0,0
0.3,43.0,75.0,67.0,0
6.4,72.0,65.0,34.0,0
3.1,72.0,50.0,54.0,0
5.1,78.0,83.0,39.0,1
9.1,84.0,75.0,34.0,1
2.5,99.0,41.0,99.0,1
4.1,71.0,89.0,53.0,1
7.6,59.0,83.0,87.0,1
2.3,88.0,92.0,48.0,0
0.8,56.0,77.0,78.0,0
2.9,66.0,70.0,83.0,1
1.6,45.0,57.0,72.0,0
9.3,42.0,91.0,63.0,1
8.1,98.0,86.0,59.0,1
6.3,90.0,33.0,54.0,1
8.7,82.0,32.0,95.0,1
8.0,65.0,54.0,88.0,1
1.9,50.0,83.0,98.0,1
8.9,49.0,94.0,39.0,1
5.4,55.0,40.0,81.0,0
8.1,73.0,69.0,96.0,0
9.0,83.0,55.0,43.0,0
3.2,80.0,93.0,35.0,0
1.1,57.0,85.0,82.0,0
2.3,97.0,84.0,70.0,1
4.3,84.0,60.0,89.0,1
8.2,73.0,57.0,40.0,1
8.6,77.0,48.0,86.0,1
0.1,65.0,34.0,44.0,0
5.1,55.0,86.0,41.0,0
4.2,61.0,83.0,41.0,0
2.2,85.0,95.0,87.0,1
1.2,41.0,95.0,77.0,0
